"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2023","23,723.0","23,135.0","23,802.0","22,800.0","2.13K","2.54%"
"01/31/2023","23,135.0","22,837.0","23,286.0","22,730.0","1.99K","1.30%"
"01/30/2023","22,837.0","23,746.0","23,784.0","22,516.0","2.95K","-3.83%"
"01/29/2023","23,746.0","23,029.0","23,962.0","23,000.0","4.24K","3.11%"
"01/28/2023","23,029.0","23,067.0","23,181.0","22,885.0","1.41K","-0.16%"
"01/27/2023","23,067.0","23,004.0","23,475.0","22,539.0","2.25K","0.27%"
"01/26/2023","23,004.0","23,045.0","23,273.0","22,859.0","1.40K","-0.18%"
"01/25/2023","23,045.0","22,627.0","23,812.0","22,334.0","3.74K","1.85%"
"01/24/2023","22,627.0","22,910.0","23,154.0","22,479.0","1.88K","-1.24%"
"01/23/2023","22,910.0","22,713.0","23,169.0","22,520.0","1.86K","0.87%"
"01/22/2023","22,713.0","22,766.0","23,071.0","22,321.0","1.52K","-0.23%"
"01/21/2023","22,766.0","22,672.0","23,312.0","22,443.0","3.60K","0.41%"
"01/20/2023","22,672.0","21,080.0","22,742.0","20,879.0","2.88K","7.55%"
"01/19/2023","21,080.0","20,678.0","21,181.0","20,670.0","0.90K","1.94%"
"01/18/2023","20,678.0","21,136.0","21,632.0","20,435.0","3.19K","-2.17%"
"01/17/2023","21,136.0","21,196.0","21,518.0","20,905.0","2.06K","-0.28%"
"01/16/2023","21,196.0","20,882.0","21,433.0","20,651.0","3.25K","1.50%"
"01/15/2023","20,882.0","20,963.0","21,048.0","20,583.0","1.54K","-0.39%"
"01/14/2023","20,963.0","19,933.0","21,300.0","19,897.0","6.06K","5.17%"
"01/13/2023","19,933.0","18,857.0","19,989.0","18,725.0","3.03K","5.71%"
"01/12/2023","18,857.0","17,946.0","19,070.0","17,920.0","5.32K","5.08%"
"01/11/2023","17,946.0","17,445.0","17,998.0","17,319.0","2.23K","2.87%"
"01/10/2023","17,445.0","17,188.0","17,503.0","17,155.0","0.81K","1.50%"
"01/09/2023","17,188.0","17,139.0","17,399.0","17,123.0","1.58K","0.29%"
"01/08/2023","17,139.0","16,958.0","17,174.0","16,930.0","0.81K","1.07%"
"01/07/2023","16,958.0","16,967.0","16,990.0","16,925.0","0.28K","-0.05%"
"01/06/2023","16,967.0","16,842.0","17,045.0","16,705.0","1.82K","0.74%"
"01/05/2023","16,842.0","16,868.0","16,888.0","16,778.0","0.57K","-0.15%"
"01/04/2023","16,868.0","16,689.0","16,998.0","16,671.0","1.12K","1.07%"
