"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2023","0.093950","0.095880","0.096810","0.088370","2.52B","-2.24%"
"01/31/2023","0.096100","0.088320","0.097720","0.088320","3.42B","8.74%"
"01/30/2023","0.088380","0.090090","0.092610","0.085040","1.97B","-1.96%"
"01/29/2023","0.090150","0.087710","0.091000","0.087350","1.04B","2.72%"
"01/28/2023","0.087760","0.087200","0.093040","0.086860","1.40B","0.64%"
"01/27/2023","0.087200","0.086400","0.087980","0.083980","754.34M","0.89%"
"01/26/2023","0.086430","0.086540","0.087430","0.084700","798.31M","-0.20%"
"01/25/2023","0.086600","0.083850","0.088000","0.081960","1.05B","3.27%"
"01/24/2023","0.083860","0.088490","0.090730","0.083000","1.13B","-5.24%"
"01/23/2023","0.088500","0.088310","0.091410","0.086960","1.43B","0.32%"
"01/22/2023","0.088220","0.084660","0.093140","0.084480","1.74B","4.28%"
"01/21/2023","0.084600","0.086440","0.088990","0.084370","1.63B","-1.99%"
"01/20/2023","0.086320","0.081580","0.086980","0.080670","917.77M","5.77%"
"01/19/2023","0.081610","0.080120","0.082120","0.079990","692.88M","1.95%"
"01/18/2023","0.080050","0.083000","0.089490","0.079620","2.49B","-3.32%"
"01/17/2023","0.082800","0.083590","0.084860","0.082370","755.78M","-1.06%"
"01/16/2023","0.083690","0.086030","0.088050","0.082080","1.29B","-2.82%"
"01/15/2023","0.086120","0.087300","0.087720","0.082920","1.14B","-1.43%"
"01/14/2023","0.087370","0.084430","0.092100","0.084100","2.55B","3.37%"
"01/13/2023","0.084520","0.080350","0.085050","0.078990","1.43B","5.28%"
"01/12/2023","0.080280","0.078250","0.081150","0.075460","1.97B","2.73%"
"01/11/2023","0.078150","0.077820","0.078370","0.074930","1.12B","0.44%"
"01/10/2023","0.077810","0.075650","0.077810","0.074180","1.47B","2.84%"
"01/09/2023","0.075660","0.073650","0.079440","0.073030","2.44B","2.83%"
"01/08/2023","0.073580","0.072270","0.073970","0.071330","697.00M","1.97%"
"01/07/2023","0.072160","0.072460","0.072930","0.071670","438.41M","-0.36%"
"01/06/2023","0.072420","0.071530","0.072670","0.069910","906.65M","1.30%"
"01/05/2023","0.071490","0.073110","0.075170","0.071090","1.20B","-2.28%"
"01/04/2023","0.073160","0.070500","0.073410","0.070220","790.27M","3.79%"
"01/03/2023","0.070490","0.071400","0.072280","0.069620","732.71M","-1.23%"
"01/02/2023","0.071370","0.070280","0.072990","0.069100","1.12B","1.61%"
"01/01/2023","0.070240","0.070260","0.070780","0.069090","446.41M","0.07%"
"12/31/2022","0.070190","0.068400","0.071260","0.067990","731.90M","2.62%"
"12/30/2022","0.068400","0.070980","0.071410","0.066500","1.20B","-3.58%"
"12/29/2022","0.070940","0.070440","0.071420","0.069440","771.81M","0.78%"
"12/28/2022","0.070390","0.073760","0.073860","0.069560","1.50B","-4.52%"
"12/27/2022","0.073720","0.075790","0.076100","0.072850","707.08M","-2.59%"
"12/26/2022","0.075680","0.075990","0.076470","0.074620","649.76M","-0.46%"
"12/25/2022","0.076030","0.077520","0.077650","0.074000","1.16B","-1.93%"
"12/24/2022","0.077530","0.077160","0.078000","0.076690","360.63M","0.41%"
"12/23/2022","0.077210","0.077050","0.078860","0.076580","1.02B","0.46%"
"12/22/2022","0.076860","0.073690","0.077520","0.073290","1.49B","4.25%"
"12/21/2022","0.073730","0.074870","0.075020","0.071610","912.61M","-1.50%"
"12/20/2022","0.074850","0.071560","0.075380","0.071170","1.13B","4.91%"
"12/19/2022","0.071350","0.078690","0.079460","0.070330","1.53B","-9.03%"
"12/18/2022","0.078430","0.079190","0.080040","0.077630","631.19M","-0.97%"
"12/17/2022","0.079200","0.075850","0.079420","0.075520","1.34B","4.47%"
"12/16/2022","0.075810","0.084780","0.086790","0.074510","1.75B","-10.59%"
"12/15/2022","0.084790","0.088280","0.088770","0.084180","899.47M","-3.84%"
"12/14/2022","0.088180","0.091020","0.092370","0.087570","1.25B","-3.15%"
"12/13/2022","0.091050","0.090310","0.094700","0.087260","1.70B","0.85%"
"12/12/2022","0.090280","0.092660","0.092990","0.085070","1.94B","-2.67%"
"12/11/2022","0.092760","0.096320","0.097110","0.092070","627.04M","-3.78%"
"12/10/2022","0.096400","0.096710","0.097360","0.096080","428.85M","-0.30%"
"12/09/2022","0.096690","0.098540","0.099270","0.095710","956.20M","-1.85%"
"12/08/2022","0.098510","0.095810","0.099010","0.094860","1.03B","2.89%"
"12/07/2022","0.095740","0.100230","0.101190","0.093190","1.41B","-4.44%"
