"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2023","100.330","94.070","102.400","93.780","1.33M","6.58%"
"01/31/2023","94.140","91.380","96.260","91.380","1.05M","3.16%"
"01/30/2023","91.260","94.880","95.970","89.010","986.47K","-3.82%"
"01/29/2023","94.880","89.850","97.530","89.830","1.27M","5.81%"
"01/28/2023","89.670","88.900","89.900","87.160","392.05K","0.85%"
"01/27/2023","88.910","87.520","89.210","85.820","418.64K","1.52%"
"01/26/2023","87.580","89.390","89.920","86.900","476.01K","-1.97%"
"01/25/2023","89.340","87.110","91.860","85.560","529.32K","2.42%"
"01/24/2023","87.230","89.940","91.280","86.100","499.69K","-2.93%"
"01/23/2023","89.860","87.560","92.980","87.550","691.22K","2.62%"
"01/22/2023","87.570","87.950","90.020","86.610","501.90K","-0.34%"
"01/21/2023","87.870","90.170","91.490","87.870","720.53K","-2.71%"
"01/20/2023","90.320","84.210","91.040","83.010","757.42K","7.27%"
"01/19/2023","84.200","82.580","84.500","81.820","484.31K","1.91%"
"01/18/2023","82.620","87.250","88.360","82.400","935.81K","-5.02%"
"01/17/2023","86.990","85.900","88.930","84.740","740.82K","1.26%"
"01/16/2023","85.910","87.370","89.090","84.530","750.06K","-1.70%"
"01/15/2023","87.400","87.860","88.590","85.510","586.55K","-0.48%"
"01/14/2023","87.820","86.170","90.910","85.930","1.75M","1.81%"
"01/13/2023","86.260","86.110","87.780","83.640","891.19K","0.16%"
"01/12/2023","86.120","83.970","86.130","82.360","1.43M","2.50%"
"01/11/2023","84.020","80.830","84.960","79.900","968.49K","3.95%"
"01/10/2023","80.830","81.660","82.840","79.530","848.09K","-0.98%"
"01/09/2023","81.630","78.640","83.410","78.160","1.18M","4.01%"
"01/08/2023","78.480","76.410","78.480","75.280","625.89K","2.80%"
"01/07/2023","76.340","75.920","76.670","75.550","388.94K","0.54%"
"01/06/2023","75.930","74.240","76.450","72.780","797.96K","2.28%"
"01/05/2023","74.240","75.460","76.260","73.710","562.35K","-1.55%"
"01/04/2023","75.410","75.560","77.840","74.500","772.65K","-0.21%"
"01/03/2023","75.570","74.740","76.330","73.720","725.82K","1.07%"
"01/02/2023","74.770","70.950","76.550","70.080","1.06M","5.44%"
"01/01/2023","70.910","70.160","71.430","69.050","497.86K","1.18%"
"12/31/2022","70.080","67.970","71.030","67.620","563.95K","3.15%"
"12/30/2022","67.940","66.670","68.440","66.090","476.53K","1.92%"
"12/29/2022","66.660","66.330","67.240","65.580","498.34K","0.51%"
"12/28/2022","66.320","68.650","69.450","65.730","693.14K","-3.44%"
"12/27/2022","68.680","70.770","71.020","67.810","688.64K","-2.95%"
"12/26/2022","70.770","69.210","70.930","68.630","725.15K","2.31%"
"12/25/2022","69.170","65.770","69.600","65.390","561.70K","5.19%"
"12/24/2022","65.760","65.750","66.050","65.070","218.83K","0.03%"
"12/23/2022","65.740","66.220","66.660","65.000","387.54K","-0.69%"
"12/22/2022","66.200","65.380","66.700","64.340","505.76K","1.18%"
"12/21/2022","65.430","65.640","66.780","64.730","573.30K","-0.29%"
"12/20/2022","65.620","63.330","66.010","63.110","849.77K","3.50%"
"12/19/2022","63.400","64.460","64.930","61.090","866.19K","-1.54%"
"12/18/2022","64.390","64.890","65.740","63.170","639.11K","-0.77%"
"12/17/2022","64.890","66.200","67.590","62.830","1.34M","-2.10%"
"12/16/2022","66.280","72.380","73.530","65.070","1.16M","-8.42%"
"12/15/2022","72.370","75.300","75.440","71.900","600.38K","-3.88%"
"12/14/2022","75.290","77.420","79.080","74.430","911.55K","-2.71%"
"12/13/2022","77.390","76.220","79.760","74.360","1.02M","1.56%"
"12/12/2022","76.200","76.460","76.690","73.600","656.12K","-0.46%"
"12/11/2022","76.550","76.360","78.360","76.290","348.16K","0.24%"
"12/10/2022","76.370","76.310","77.400","75.760","301.24K","0.08%"
"12/09/2022","76.310","78.320","78.770","75.940","622.25K","-2.52%"
"12/08/2022","78.280","76.920","78.720","74.570","911.78K","1.86%"
"12/07/2022","76.850","79.900","80.380","75.990","864.81K","-3.82%"
"12/06/2022","79.900","80.210","81.680","77.800","802.74K","-0.35%"
"12/05/2022","80.180","77.070","83.980","76.860","1.70M","3.95%"
"12/04/2022","77.130","76.410","77.450","75.800","391.30K","0.86%"
"12/03/2022","76.470","77.930","78.030","75.440","432.65K","-1.94%"
"12/02/2022","77.980","77.520","78.060","75.470","581.98K","0.54%"
"12/01/2022","77.560","79.140","80.520","76.330","968.38K","-2.01%"
"11/30/2022","79.150","75.800","80.520","75.560","1.11M","4.46%"
"11/29/2022","75.770","73.970","77.620","73.530","1.21M","2.53%"
"11/28/2022","73.900","74.890","75.310","70.610","1.47M","-1.36%"
"11/27/2022","74.920","76.380","79.230","74.430","994.97K","-2.01%"
"11/26/2022","76.460","74.110","79.500","73.910","1.27M","3.39%"
"11/25/2022","73.950","78.630","79.150","73.370","1.55M","-6.04%"
