"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2023","0.41318","0.40568","0.41566","0.39685","74.29M","1.83%"
"01/31/2023","0.40577","0.39339","0.41117","0.38823","72.91M","3.17%"
"01/30/2023","0.39330","0.41333","0.42204","0.38575","91.82M","-4.82%"
"01/29/2023","0.41323","0.40777","0.41723","0.40659","34.18M","1.34%"
"01/28/2023","0.40777","0.41277","0.41668","0.40560","27.89M","-1.22%"
"01/27/2023","0.41279","0.40903","0.41332","0.39902","50.92M","0.88%"
"01/26/2023","0.40918","0.41700","0.41775","0.40567","55.47M","-1.81%"
"01/25/2023","0.41673","0.40758","0.42423","0.39704","67.72M","2.21%"
"01/24/2023","0.40770","0.42323","0.43110","0.40289","79.80M","-3.70%"
"01/23/2023","0.42336","0.40034","0.43281","0.39958","128.72M","5.76%"
"01/22/2023","0.40029","0.40333","0.41208","0.39643","55.94M","-0.75%"
"01/21/2023","0.40333","0.41286","0.41626","0.39753","81.47M","-2.31%"
"01/20/2023","0.41288","0.39282","0.41369","0.38601","69.19M","5.10%"
"01/19/2023","0.39283","0.37814","0.39576","0.37655","84.57M","3.89%"
"01/18/2023","0.37813","0.38673","0.39559","0.36648","120.45M","-2.21%"
"01/17/2023","0.38666","0.38546","0.39840","0.37918","71.17M","0.29%"
"01/16/2023","0.38555","0.38457","0.40615","0.37820","101.27M","0.25%"
"01/15/2023","0.38460","0.39535","0.39676","0.37998","59.87M","-2.72%"
"01/14/2023","0.39536","0.38563","0.40893","0.37646","115.90M","2.50%"
"01/13/2023","0.38573","0.37443","0.38669","0.36867","67.67M","3.02%"
"01/12/2023","0.37444","0.37288","0.38139","0.36054","101.30M","0.42%"
"01/11/2023","0.37286","0.35068","0.37741","0.34787","115.15M","6.30%"
"01/10/2023","0.35076","0.34872","0.35402","0.34324","68.94M","0.56%"
"01/09/2023","0.34880","0.34524","0.35731","0.34370","127.53M","1.08%"
"01/08/2023","0.34509","0.34417","0.34679","0.33809","44.38M","0.26%"
"01/07/2023","0.34418","0.34426","0.34553","0.34152","18.08M","-0.02%"
"01/06/2023","0.34425","0.33770","0.34593","0.33132","73.43M","1.94%"
"01/05/2023","0.33770","0.34713","0.34868","0.33488","54.01M","-2.74%"
"01/04/2023","0.34722","0.34345","0.35219","0.34194","71.71M","1.07%"
"01/03/2023","0.34353","0.34809","0.35184","0.34111","61.21M","-1.34%"
"01/02/2023","0.34821","0.33864","0.35495","0.30088","127.50M","2.82%"
"01/01/2023","0.33866","0.33906","0.33988","0.33562","20.89M","-0.10%"
"12/31/2022","0.33899","0.34504","0.34517","0.33878","20.70M","-1.79%"
"12/30/2022","0.34516","0.34206","0.34584","0.33374","54.14M","0.93%"
"12/29/2022","0.34198","0.35584","0.35777","0.33731","90.70M","-3.87%"
"12/28/2022","0.35575","0.36748","0.36866","0.35494","78.94M","-3.19%"
"12/27/2022","0.36746","0.36577","0.37269","0.35865","68.11M","0.45%"
"12/26/2022","0.36582","0.34567","0.36963","0.34559","67.18M","5.79%"
"12/25/2022","0.34581","0.35171","0.35185","0.34390","28.23M","-1.68%"
"12/24/2022","0.35171","0.35428","0.35428","0.35104","14.72M","-0.74%"
"12/23/2022","0.35432","0.34912","0.35488","0.34715","42.78M","1.49%"
"12/22/2022","0.34912","0.34478","0.35017","0.34148","49.99M","1.22%"
"12/21/2022","0.34492","0.34811","0.35022","0.33821","61.38M","-0.90%"
"12/20/2022","0.34805","0.33878","0.35283","0.33588","107.76M","2.75%"
"12/19/2022","0.33874","0.34983","0.35286","0.33210","68.83M","-3.16%"
"12/18/2022","0.34980","0.35452","0.35525","0.34769","8.53M","-1.33%"
"12/17/2022","0.35450","0.35093","0.35694","0.34706","39.01M","1.02%"
"12/16/2022","0.35093","0.37792","0.37980","0.34454","78.03M","-7.14%"
"12/15/2022","0.37792","0.38517","0.38672","0.37405","61.68M","-1.88%"
"12/14/2022","0.38517","0.39507","0.39535","0.37683","62.66M","-2.52%"
"12/13/2022","0.39511","0.38743","0.39652","0.37833","65.30M","2.00%"
"12/12/2022","0.38737","0.38075","0.38960","0.37077","49.10M","1.71%"
"12/11/2022","0.38085","0.38646","0.38846","0.37832","20.10M","-1.44%"
"12/10/2022","0.38642","0.38884","0.38925","0.38547","16.86M","-0.62%"
"12/09/2022","0.38884","0.39412","0.39505","0.38487","43.54M","-1.39%"
"12/08/2022","0.39431","0.38320","0.39602","0.38296","47.89M","2.90%"
"12/07/2022","0.38319","0.39132","0.39233","0.37455","52.47M","-2.09%"
"12/06/2022","0.39136","0.38920","0.39235","0.38076","52.58M","0.53%"
"12/05/2022","0.38930","0.38952","0.39511","0.38007","49.41M","-0.05%"
"12/04/2022","0.38951","0.38720","0.39295","0.38624","24.07M","0.59%"
"12/03/2022","0.38722","0.39588","0.39696","0.38537","26.66M","-2.21%"
"12/02/2022","0.39597","0.39684","0.39746","0.38400","44.82M","-0.21%"
"12/01/2022","0.39679","0.40773","0.40897","0.39452","42.91M","-2.71%"
"11/30/2022","0.40783","0.39805","0.41119","0.39330","48.63M","2.42%"
"11/29/2022","0.39820","0.38876","0.40334","0.38323","57.13M","2.30%"
"11/28/2022","0.38923","0.39620","0.39899","0.37344","75.11M","-1.73%"
"11/27/2022","0.39608","0.39608","0.40906","0.39429","34.44M","0.05%"
"11/26/2022","0.39587","0.40776","0.41439","0.39283","30.59M","-2.86%"
"11/25/2022","0.40752","0.40190","0.41907","0.38901","66.17M","1.39%"
"11/24/2022","0.40193","0.38148","0.40474","0.37420","67.84M","5.32%"
"11/23/2022","0.38161","0.37556","0.38221","0.36818","52.79M","1.61%"
"11/22/2022","0.37556","0.36454","0.37824","0.35125","69.04M","3.05%"
"11/21/2022","0.36445","0.36100","0.36859","0.34566","83.48M","0.93%"
"11/20/2022","0.36108","0.38410","0.39614","0.35901","44.41M","-6.00%"
"11/19/2022","0.38414","0.37905","0.38830","0.37880","29.25M","0.70%"
"11/18/2022","0.38146","0.37951","0.38495","0.37459","46.33M","-0.59%"
"11/17/2022","0.38373","0.37507","0.38670","0.36925","71.91M","2.70%"
"11/16/2022","0.37364","0.38869","0.39101","0.36199","55.89M","-3.86%"
"11/15/2022","0.38865","0.37760","0.39742","0.36679","99.13M","2.92%"
"11/14/2022","0.37764","0.34074","0.37951","0.32158","103.58M","10.76%"
"11/13/2022","0.34096","0.36361","0.36929","0.33297","54.09M","-6.20%"
"11/12/2022","0.36349","0.38424","0.38466","0.35975","45.70M","-5.42%"
"11/11/2022","0.38430","0.39418","0.39882","0.36623","69.97M","-2.57%"
"11/10/2022","0.39442","0.33299","0.40275","0.33006","111.59M","18.72%"
"11/09/2022","0.33223","0.40547","0.41076","0.31479","151.51M","-18.12%"
"11/08/2022","0.40577","0.46473","0.46679","0.33467","161.07M","-12.68%"
"11/07/2022","0.46469","0.47088","0.47989","0.45872","57.51M","-1.32%"
"11/06/2022","0.47090","0.49306","0.49483","0.46811","28.75M","-4.49%"
"11/05/2022","0.49305","0.50629","0.50968","0.48943","36.18M","-2.65%"
"11/04/2022","0.50648","0.45484","0.50766","0.45326","112.45M","11.36%"
"11/03/2022","0.45483","0.44987","0.45972","0.44888","51.61M","1.11%"
"11/02/2022","0.44984","0.46362","0.46587","0.44550","67.27M","-2.98%"
"11/01/2022","0.46366","0.46420","0.46702","0.45457","58.37M","-0.14%"
"10/31/2022","0.46431","0.45818","0.46731","0.44816","79.55M","1.36%"
"10/30/2022","0.45809","0.47019","0.47316","0.45423","42.44M","-2.55%"
"10/29/2022","0.47008","0.47431","0.48361","0.46636","60.87M","-0.92%"
"10/28/2022","0.47446","0.46154","0.47541","0.45660","47.04M","2.81%"
"10/27/2022","0.46150","0.46884","0.48239","0.45872","90.92M","-1.60%"
"10/26/2022","0.46900","0.46064","0.47102","0.45666","80.02M","1.79%"
